'Quote (symbol,day,low,high,open,close,volume'
IBM,20130102,193.80,196.35,194.09,196.35,4234226
IBM,20130103,194.44,196.29,195.67,195.27,3644876
IBM,20130104,192.78,194.46,194.19,193.99,3380159
IBM,20130107,192.34,193.78,193.40,193.14,2862276
IBM,20130108,191.61,193.30,192.92,192.87,3028071
IBM,20130109,191.65,193.49,193.48,192.32,3211997
IBM,20130110,191.28,192.96,192.65,192.88,3608049
IBM,20130111,192.90,195.00,194.15,194.45,3880567
IBM,20130114,191.75,193.28,192.82,192.62,4172922
IBM,20130115,190.39,192.73,191.31,192.50,4172034
IBM,20130116,191.35,193.18,192.00,192.59,2962820
IBM,20130117,193.24,194.46,193.85,193.65,3884254
IBM,20130118,193.80,195.00,194.03,194.47,4559773
IBM,20130122,194.01,196.08,194.36,196.08,7159219
IBM,20130123,203.36,208.58,203.50,204.72,12530410
IBM,20130124,203.08,205.06,203.91,204.42,4447108
IBM,20130125,204.13,205.18,204.45,204.97,3358887
IBM,20130128,204.29,206.22,204.85,204.93,2823615
IBM,20130129,203.64,205.73,204.34,203.90,3617058
IBM,20130130,203.19,204.88,203.69,203.52,2998524
IBM,20130131,202.96,204.47,203.32,203.07,3091406
IBM,20130201,203.84,205.35,204.65,205.18,3371154
IBM,20130204,203.57,205.02,204.19,203.79,3188819
IBM,20130205,202.51,204.75,204.31,202.79,3636837
IBM,20130206,199.56,201.29,200.39,201.02,3624103
IBM,20130207,198.68,200.91,200.62,199.74,3076793
IBM,20130208,199.68,202.09,199.97,201.68,2893254
IBM,20130211,199.75,201.95,200.98,200.16,2944651
IBM,20130212,199.02,200.74,200.01,200.04,2461779
IBM,20130213,199.57,200.95,200.65,200.09,2169757
IBM,20130214,199.26,200.32,199.73,199.65,3294126
IBM,20130215,199.82,201.25,199.98,200.98,3627887
IBM,20130219,200.22,201.89,200.60,200.32,2998317
IBM,20130220,198.86,201.72,200.62,199.31,3715311
IBM,20130221,198.11,199.07,198.63,198.33,3923051
IBM,20130222,198.84,201.09,199.23,201.09,3107976
IBM,20130225,197.51,202.49,201.67,197.51,3845476
IBM,20130226,197.84,199.90,198.63,199.14,3391562
IBM,20130227,198.60,202.75,198.89,202.33,4185545
IBM,20130228,200.79,203.12,202.18,200.83,4689998
IBM,20130301,199.36,202.94,200.65,202.91,3309434
IBM,20130304,202.55,205.19,202.59,205.19,3693365
IBM,20130305,205.69,207.70,205.86,206.53,3807706
IBM,20130306,206.66,208.49,207.03,208.38,3594899
IBM,20130307,208.24,209.60,208.29,209.42,3884317
IBM,20130308,209.43,210.74,209.85,210.38,3700786
IBM,20130311,209.04,210.20,210.04,210.08,3049701
IBM,20130312,209.09,210.73,209.40,210.55,3592096
IBM,20130313,209.77,212.36,210.20,212.06,3356946
IBM,20130314,212.15,215.86,212.15,215.80,5505584
IBM,20130315,213.41,215.90,215.38,214.92,7936544
IBM,20130318,212.64,214.50,212.90,213.21,3006125
IBM,20130319,211.83,215.12,214.13,213.44,3198577
IBM,20130320,214.30,215.82,214.76,215.06,3020648
IBM,20130321,210.11,213.00,212.96,212.26,5830566
IBM,20130322,211.62,213.17,212.21,212.08,3031457
IBM,20130325,210.05,212.81,212.54,210.74,3242463
IBM,20130326,211.50,212.50,211.77,212.36,2300240
IBM,20130327,210.10,212.16,210.96,210.89,3223381
IBM,20130328,209.74,213.44,209.83,213.30,3752999